episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
42,0.7229888442230266,73.8,816.8982197950993,0.39089014587674903,352,1.0,0.6050824961731588,0.6036602384276973,0.02,0.3,74.0,73.8,2,1,2,"[11, 23]",2,23,6,0
43,0.68229366205132,74.2,812.4263494955886,0.42372272311511827,288,1.0,0.613049558918657,0.4959469859393074,0.02,0.3,74.6,74.2,2,3,2,"[11, 23]",4,21,6,0
44,0.6597560000525199,69.0,811.6663353520356,0.4120843761172685,304,0.8726114649681529,0.6144035964831667,0.5341287040428099,0.02,0.3,69.8,69.0,2,3,2,"[11, 23]",2,22,8,1
45,0.780535436260051,68.4,730.4150530148816,0.34731455563331,352,0.8471337579617837,0.7591604926308763,0.7466179027056326,0.02,0.3,68.8,68.4,2,5,4,"[7, 14, 21, 28]",2,23,7,0
46,0.7769433117256075,72.4,673.3493905542915,0.4082411900405696,272,1.0,0.8608284040384787,0.5467369762851597,0.02,0.3,73.0,72.4,2,1,4,"[7, 14, 21, 28]",3,19,8,0
47,0.6742290772508427,71.0,761.6229551977838,0.4408525874881773,256,0.9575371549893843,0.7035606433074829,0.4397493444044565,0.02,0.3,71.6,71.0,2,1,3,"[8, 17, 26]",4,21,8,1
48,0.3080560460442364,54.6,726.7405385694996,0.6547839539799097,264,0.26114649681528684,0.7657069899988346,0.0,0.02,0.3,76.4,54.6,3,1,2,"[11, 23]",2,23,5,0
49,0.7502468724181864,72.8,811.2998919096742,0.3723986856516977,304,1.0,0.6150564503681036,0.6643248432693885,0.02,0.3,73.2,72.8,2,3,3,"[8, 17, 26]",2,22,6,1
50,0.8050989162052262,75.4,831.1351785030525,0.32252066115702477,320,1.0,0.5797179986062814,0.8279587915583546,0.02,0.3,76.4,75.4,2,3,4,"[7, 14, 21, 28]",2,23,6,1
51,0.6199454992285293,71.4,801.0675549335649,0.4700361716687848,320,0.9745222929936308,0.6332863330037123,0.34400727857331587,0.02,0.3,73.8,71.4,2,5,3,"[8, 17, 26]",2,23,19,1
52,0.6953924159299211,71.6,808.5246858278106,0.41144712113446097,320,0.9830148619957535,0.6200007442552308,0.5362193351365645,0.02,0.3,72.4,71.6,2,5,2,"[11, 23]",3,22,7,0
53,0.7265499242175599,70.6,804.3884539377589,0.3796811410222903,304,0.9405520169851378,0.6273698352151315,0.6404334213936981,0.02,0.3,71.2,70.6,2,5,3,"[8, 17, 26]",2,22,10,1
54,0.8439177152722096,73.4,738.4743292113584,0.33067935958459543,320,1.0,0.7448021246908094,0.8011926946624169,0.02,0.3,74.8,73.4,2,1,4,"[7, 14, 21, 28]",2,23,21,1
55,0.7116646146158081,64.2,672.0854772014293,0.3827824414130815,264,0.6687898089171976,0.8630801860251406,0.6302590403327665,0.02,0.3,65.4,64.2,3,3,3,"[8, 17, 26]",2,23,10,0
56,0.5859397794518327,68.6,751.0849119783945,0.4891263940520446,304,0.8556263269639064,0.7223351707245309,0.2813783253632538,0.02,0.3,69.6,68.6,2,1,2,"[11, 23]",3,21,6,0
57,0.7825181030294719,78.8,773.9673370311822,0.3630120860147544,288,1.0,0.6815679516518608,0.6951192938347843,0.02,0.3,80.4,78.8,2,1,4,"[7, 14, 21, 28]",3,22,15,1
58,0.7559082677135,70.2,719.9033708615318,0.387836137757509,240,0.9235668789808918,0.777888055298701,0.6136794685740551,0.02,0.3,71.4,70.2,3,3,4,"[7, 14, 21, 28]",4,23,19,0
59,0.7132837014681759,68.2,744.7092494340168,0.39079943058365174,272,0.8386411889596604,0.7336940206314118,0.6039578464771357,0.02,0.3,68.8,68.2,2,1,4,"[7, 14, 21, 28]",5,23,11,1
60,0.7993639189287577,72.0,739.2992819033476,0.36429498722727083,272,1.0,0.7433323929188784,0.6909105026327352,0.02,0.3,72.6,72.0,2,3,4,"[7, 14, 21, 28]",5,23,21,1
61,0.7437711934871287,71.8,765.0778143692288,0.39421778911054445,252,0.9915074309978767,0.6974054827253939,0.592743298425369,0.02,0.3,72.6,71.8,3,5,3,"[8, 17, 26]",2,22,21,0
62,0.6817419497210537,68.6,811.4777654426086,0.39152409119838266,304,0.8556263269639064,0.6147395517322449,0.6015804652805209,0.02,0.3,69.0,68.6,2,5,2,"[11, 23]",2,22,9,1
63,0.7059427494480904,71.2,743.3842367881837,0.4260555909187354,336,0.9660297239915075,0.7360546568263134,0.48829358800686024,0.02,0.3,72.6,71.2,2,1,4,"[7, 14, 21, 28]",2,22,15,0
64,0.6672577177808857,72.2,802.2538912509315,0.43932382661252245,272,1.0,0.6311727618925921,0.44476472303277037,0.02,0.3,72.6,72.2,2,1,2,"[11, 23]",6,22,14,0
65,0.7123421103835325,75.6,802.6593100540663,0.40480274442538594,352,1.0,0.6304504696912433,0.5580174236903988,0.02,0.3,76.6,75.6,2,1,3,"[8, 17, 26]",2,23,9,0
66,0.6001395228505849,64.4,737.96126325389,0.4428794436954516,264,0.6772823779193209,0.7457162005476555,0.43309987327623006,0.02,0.3,64.8,64.4,3,3,2,"[11, 23]",2,23,9,0
67,0.7637081827063787,76.2,746.7011669981039,0.38845123365457673,320,1.0,0.7301452298226357,0.6116615343989701,0.02,0.3,76.8,76.2,2,3,4,"[7, 14, 21, 28]",2,21,21,0
68,0.6150848737299978,73.6,783.1064462346279,0.4868800502526911,288,1.0,0.6652857583892836,0.2887478655330316,0.02,0.3,76.6,73.6,2,1,2,"[11, 23]",4,21,12,0
69,0.7274469166253225,68.0,679.6213532435655,0.4045748424584663,288,0.8301486199575372,0.8496543052976594,0.5587650976219086,0.02,0.3,68.2,68.0,2,1,3,"[8, 17, 26]",3,22,16,1
70,0.6959075413046565,67.8,752.4676166153844,0.39699778906946975,336,0.8216560509554139,0.719871750754011,0.5836230019795725,0.02,0.3,69.4,67.8,2,1,3,"[8, 17, 26]",3,23,11,0
71,0.7470094447003897,70.6,749.5532597440666,0.38642418626201785,320,0.9405520169851378,0.7250639550223466,0.6183116327453608,0.02,0.3,71.6,70.6,2,3,3,"[8, 17, 26]",2,23,18,1
72,0.7173884558525367,71.6,764.5052202206161,0.41261411995780745,320,0.9830148619957535,0.6984256137229771,0.5323907828422939,0.02,0.3,72.0,71.6,2,1,3,"[8, 17, 26]",2,23,12,1
73,0.6798492919909156,72.8,847.6375390807983,0.41124417831004656,320,1.0,0.5503174718991176,0.5368851260529507,0.02,0.3,73.4,72.8,2,3,2,"[11, 23]",2,23,8,1
74,0.7579297041583184,68.6,751.3771402772885,0.3579447504520035,352,0.8556263269639064,0.7218145381843712,0.7117436115345877,0.02,0.3,70.4,68.6,2,3,4,"[7, 14, 21, 28]",2,23,4,0
75,0.7993175206687348,78.8,845.7408561471468,0.32097751710654937,352,1.0,0.5536965931456285,0.8330213568126157,0.02,0.3,79.8,78.8,2,5,4,"[7, 14, 21, 28]",2,23,4,0
76,0.36742655968800664,57.0,672.8613615836717,0.5851399290500591,336,0.3630573248407645,0.8616978741192577,0.0,0.02,0.3,69.8,57.0,2,1,3,"[8, 17, 26]",2,22,16,0
77,0.786157871228933,74.4,747.8989946296331,0.37085588294247346,256,1.0,0.7280111858411435,0.6693862886914749,0.02,0.3,75.2,74.4,2,3,4,"[7, 14, 21, 28]",3,20,6,1
78,0.6741128324037458,66.6,744.1878152770973,0.40532948679016095,288,0.770700636942675,0.7346230052323912,0.5562893493780648,0.02,0.3,67.4,66.6,2,5,3,"[8, 17, 26]",4,23,18,1
79,0.6836111618073549,68.4,766.0230186045768,0.4066715542521994,320,0.8471337579617837,0.6957215113787402,0.5518864525129944,0.02,0.3,69.6,68.4,2,5,3,"[8, 17, 26]",2,23,12,1
80,0.6506547616387065,66.6,713.9710985705389,0.43551243005878604,336,0.770700636942675,0.78845696325001,0.45726870395225244,0.02,0.3,67.2,66.6,2,1,3,"[8, 17, 26]",3,23,16,0
81,0.48556872518963684,75.6,997.8919705440194,0.49809562111140027,288,1.0,0.28262489517397765,0.25195314159360893,0.02,0.3,76.6,75.6,2,4,1,[17],4,23,4,1
82,0.7406991163523832,74.4,766.4426852650502,0.3979444176468406,320,1.0,0.6949738352628764,0.5805174144338008,0.02,0.3,75.2,74.4,2,1,3,"[8, 17, 26]",2,21,14,0
83,0.7144044871404521,67.2,708.3654692115331,0.3950404176490401,304,0.7961783439490447,0.7984439257153777,0.5900445156028136,0.02,0.3,67.6,67.2,2,1,3,"[8, 17, 26]",2,22,10,1
84,0.7331079307170036,72.2,752.4061063082097,0.40944616880445756,272,1.0,0.7199813372231912,0.5427838238751157,0.02,0.3,73.2,72.2,2,5,4,"[7, 14, 21, 28]",3,21,9,1
85,0.7622773667148344,73.4,743.2240681135759,0.39095776323616893,240,1.0,0.7363400125712247,0.6034384073586674,0.02,0.3,74.0,73.4,3,5,3,"[8, 17, 26]",2,23,20,1
86,0.7353401155270335,73.4,770.5195714107642,0.40036768844032566,352,1.0,0.6877104743973543,0.5725674330195679,0.02,0.3,74.4,73.4,2,1,3,"[8, 17, 26]",2,23,18,0
87,0.646140364799816,64.6,745.605257414872,0.40665327254462563,352,0.6857749469214436,0.7320976970965539,0.5519464289860417,0.02,0.3,66.2,64.6,2,5,3,"[8, 17, 26]",2,23,19,0
88,0.8192563617104691,77.8,717.936962217107,0.35783692437684833,256,1.0,0.7813913995381655,0.7120973546225488,0.02,0.3,78.2,77.8,2,3,4,"[7, 14, 21, 28]",3,20,18,1
89,0.7660686400111005,70.4,741.5073365854638,0.37323592893906693,320,0.9320594479830151,0.7393985332539781,0.6615781141000066,0.02,0.3,71.2,70.4,2,5,4,"[7, 14, 21, 28]",2,23,15,1
90,0.7804259361940613,74.6,813.9804421927954,0.34830936649825106,288,1.0,0.6102807947994647,0.743354244385555,0.02,0.3,76.2,74.6,2,5,4,"[7, 14, 21, 28]",5,22,7,0
91,0.7552834995523292,69.4,721.1798523135725,0.38002635466996765,352,0.8895966029723994,0.7756138820466312,0.6393008851165503,0.02,0.3,70.2,69.4,2,1,4,"[7, 14, 21, 28]",2,23,17,0
92,0.7513569937794042,70.2,705.0063515676959,0.3973718155433731,252,0.9235668789808918,0.8044285136496229,0.5823959399756246,0.02,0.3,70.8,70.2,3,3,3,"[8, 17, 26]",2,22,14,0
