tick,agent_1,agent_2,agent_3,agent_4
233,0.6496,0.5805,0.5461,1.1182
234,0.5195,0.5613,0.4677,1.1182
235,0.7415,0.372,0.5058,1.1182
236,0.7458,0.323,0.4657,1.1182
237,0.7538,0.3401,0.5096,1.1165
238,0.6208,0.3241,0.4897,0.7531
239,0.7994,0.2682,0.4746,0.8166
240,0.6377,0.321,0.0378,0.5593
241,0.9605,0.3727,0.0385,1.1874
242,0.9503,0.3658,0.107,1.1874
243,0.8528,0.3473,0.0871,1.1874
244,0.7092,0.4043,0.4214,1.1874
245,0.6004,0.3956,0.4024,1.1874
246,0.6052,0.4125,0.4063,1.1874
247,0.6266,0.3869,0.3836,1.1874
248,0.5468,0.1334,0.4106,1.1874
249,0.5871,0.1482,0.3924,1.1874
250,0.5623,0.0845,0.5361,1.2212
251,0.4259,0.0256,0.8037,1.2565
252,0.3503,0.0575,0.6696,1.0901
253,0.3875,0.1278,0.6972,0.6144
254,0.068,0.0839,0.6527,0.1666
255,0.0309,0.0605,0.6239,0.0638
256,0.3315,0.0248,0.6395,0.1571
257,0.3552,0.0582,0.6744,0.134
258,0.3185,0.0619,0.5815,0.1695
259,0.3083,0.279,0.8182,0.0226
260,0.3425,0.3468,0.7513,0.0421
261,0.2884,0.491,1.2038,0.5736
262,0.4272,0.5023,1.104,0.5748
263,0.5751,0.4158,1.104,0.5954
264,0.4985,0.5871,1.104,0.6005
265,0.693,0.572,1.104,0.5684
266,0.7057,0.5602,,0.6
267,0.6787,0.6691,,0.5856
268,0.5819,0.6671,,0.5683
269,0.5307,0.6787,,0.5685
270,0.4851,0.5593,,0.5931
271,0.4127,0.5747,,0.6184
272,0.4172,0.5238,,0.6232
273,0.4073,0.4349,,0.582
274,0.3973,0.5434,,0.3474
275,0.2674,0.5437,,0.0978
276,0.3186,0.4131,0.0,0.0527
277,0.2925,0.538,1.104,0.0727
278,0.319,0.5431,1.104,0.0901
279,0.34,0.3892,1.104,0.0598
280,0.0815,0.3952,1.104,0.0742
281,0.0868,0.4352,1.104,0.0821
282,0.0714,0.4378,1.0851,0.1122
283,0.0823,0.4,1.1039,0.2352
284,0.0729,0.3399,0.9144,0.4281
285,0.0659,0.5147,0.3536,0.3913
