tick,agent_1,agent_2,agent_3,agent_4
279,1.0798,1.1291,0.9756,1.1665
280,0.927,0.9032,0.8659,1.1994
281,0.8778,0.9631,0.9943,1.1013
282,0.9243,0.7488,0.8409,1.1016
283,0.8883,0.8043,0.8632,1.1507
284,1.055,0.9695,0.828,0.9353
285,1.0483,0.8685,0.7286,1.0142
286,1.0789,1.1477,1.0073,1.1356
287,1.2595,1.0103,1.031,1.0089
288,0.8657,1.1166,1.0066,0.9345
289,1.0127,0.8834,1.0346,1.0657
290,1.2085,1.1168,0.7769,1.1106
291,0.8057,1.1219,0.9798,1.0183
292,1.2217,0.8142,0.9639,1.0487
293,1.2383,1.088,0.8026,1.1603
294,1.032,1.0464,0.9688,1.2182
295,1.1641,1.0873,0.9695,1.0556
296,1.1712,0.7953,0.7662,1.0974
297,0.9594,0.7222,0.9303,1.1632
298,1.1539,1.0739,0.7906,0.94
299,0.9541,0.9706,1.014,1.1047
300,0.9014,0.9958,0.7906,0.972
301,1.0725,1.1342,1.1798,1.0004
302,1.2585,0.9925,1.0972,1.186
303,1.0367,1.1463,1.1823,1.2194
304,1.226,1.1422,1.1367,0.8367
305,1.2266,1.1429,1.0113,0.9807
306,1.155,1.1066,0.986,1.1905
307,1.2012,1.099,1.0799,1.1793
308,1.0199,1.109,0.9909,0.8835
309,1.1893,0.8595,1.0053,1.0031
310,1.1241,0.8494,1.1263,1.2139
311,0.9652,0.9,0.852,1.1912
312,1.0193,1.0565,1.1182,1.1912
313,0.9472,0.9808,1.1225,1.1589
314,1.2163,0.8921,0.9626,0.8251
315,1.1441,1.0621,1.0805,1.1315
316,1.0426,0.6373,1.1326,0.9381
317,1.1438,0.8099,1.036,1.1023
318,1.1885,1.0943,0.9317,1.1774
319,1.1952,0.9031,0.7871,1.1183
320,1.1952,0.9708,0.6577,1.1627
321,0.9859,1.1074,0.7722,0.7719
322,1.223,0.9912,0.8547,1.1932
323,0.9514,1.1608,0.8135,1.2094
324,1.0453,1.0153,0.7847,1.193
325,1.1326,1.1504,0.9377,1.189
326,0.9209,1.15,0.7242,1.1982
327,1.0213,0.9863,0.7431,1.099
328,1.2009,1.1357,1.0124,1.0386
329,0.8065,0.8558,0.9637,0.996
330,1.1059,1.0173,1.0401,0.9957
331,0.9007,0.95,1.1544,1.009
332,0.7993,1.0137,1.1554,0.8184
333,1.0866,1.0252,0.9629,0.8422
334,1.0475,1.0959,0.9912,0.8679
