tick,arrivals,completions
1009,0.1,0.1
1010,0.0,0.4
1011,0.1,0.3
1012,0.0,0.1
1013,0.1,0.1
1014,0.1,0.3
1015,0.2,0.1
1016,0.1,0.4
1017,0.1,0.2
1018,0.1,0.7
1019,0.1,0.1
1020,0.3,0.2
1021,0.0,0.1
1022,0.4,0.0
1023,0.3,0.3
1024,0.3,0.1
1025,0.1,0.0
1026,0.3,0.1
1027,0.0,0.2
1028,0.0,0.0
1029,0.1,0.1
1030,0.1,0.3
1031,0.2,0.1
1032,0.0,0.0
1033,0.2,0.2
1034,0.3,0.1
1035,0.1,0.3
1036,0.0,0.2
1037,0.0,0.0
1038,0.3,0.0
1039,0.0,0.0
1040,0.1,0.3
1041,0.3,0.3
1042,0.0,0.0
1043,0.3,0.1
1044,0.4,0.0
1045,0.1,0.1
1046,0.2,0.1
1047,0.3,0.2
1048,0.0,0.1
1049,0.0,0.3
1050,0.2,0.1
1051,0.0,0.1
1052,0.0,0.2
1053,0.1,0.0
1054,0.0,0.3
1055,0.2,0.0
1056,0.1,0.0
1057,0.2,0.4
1058,0.0,0.1
1059,0.0,0.2
1060,0.3,0.2
1061,0.2,0.1
1062,0.0,0.1
1063,0.2,0.1
1064,0.0,0.0
1065,0.5,0.2
1066,0.0,0.3
1067,0.3,0.2
1068,0.4,0.3
1069,0.1,0.2
1070,0.0,0.0
1071,0.1,0.1
1072,0.6,0.0
1073,0.3,0.0
1074,0.1,0.1
1075,0.4,0.3
1076,0.5,0.1
1077,0.2,0.1
1078,0.0,0.0
1079,0.2,0.1
1080,0.2,0.0
1081,0.2,0.4
1082,0.2,0.5
1083,0.1,0.1
1084,0.1,0.0
1085,0.0,0.1
1086,0.2,0.0
1087,0.3,0.3
1088,0.1,0.3
1089,0.0,0.0
1090,0.1,0.1
1091,0.2,0.1
1092,0.0,0.0
1093,0.2,0.1
1094,0.5,0.4
1095,0.2,0.1
1096,0.1,0.1
1097,0.3,0.1
1098,0.0,0.0
1099,0.1,0.2
1100,0.0,0.1
1101,0.3,0.1
1102,0.0,0.1
1103,0.2,0.3
1104,0.4,0.1
1105,0.1,0.1
1106,0.2,0.1
1107,0.2,0.2
1108,0.1,0.1
1109,0.1,0.0
1110,0.1,0.1
1111,0.3,0.2
1112,0.0,0.2
1113,0.0,0.2
1114,0.2,0.1
1115,0.0,0.3
1116,0.2,0.1
1117,0.1,0.1
1118,0.1,0.3
1119,0.2,0.1
1120,0.1,0.3
