tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
439,1.2084,1.1172,1.1275,0.7066,1.1266,1.1539
440,1.2085,1.065,0.9024,0.9972,1.1794,1.2413
441,0.7393,1.0685,0.9443,0.9515,1.175,1.2004
442,1.2364,0.9769,0.9273,0.6198,1.2048,1.001
443,0.7499,0.8542,1.1417,1.0258,0.9382,1.1959
444,1.0096,0.5287,1.0896,0.9428,1.1986,0.8968
445,1.1448,0.804,1.1185,1.0977,0.7192,1.0576
446,1.1461,0.8607,1.0568,1.1787,1.1733,1.0633
447,1.039,1.1215,0.8962,1.1228,1.2194,1.2018
448,0.8217,1.0995,1.0726,0.9837,1.1398,1.0878
449,1.0748,1.0995,0.7599,1.0228,1.2194,1.0685
