tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
157,0.5257,0.9264,1.1051,0.8404,0.8812,0.8176,0.8061,0.7071
158,0.5267,0.9252,1.1372,0.7466,1.0245,0.81,0.8572,0.87
159,0.7298,0.8434,1.1423,0.9717,0.8571,0.704,0.9116,0.8745
160,0.7594,0.7313,0.886,1.044,1.043,0.6377,0.8083,0.8238
161,0.7189,0.7528,0.5787,1.0531,0.8024,0.1467,0.7871,0.8263
162,0.5955,0.6922,0.8148,0.9405,0.9933,0.5632,0.7871,0.8647
163,0.5252,0.6986,1.0062,1.1236,0.8771,0.4865,1.1787,0.6598
164,0.7833,0.7153,0.9731,1.204,1.02,0.4248,1.1789,0.3446
165,0.6875,0.9245,1.1345,0.8973,0.9912,0.7909,1.1501,0.9271
166,0.5053,0.9289,1.0808,0.8045,0.9503,0.4924,0.8144,0.654
167,0.6441,0.9215,1.1617,1.0565,0.9172,0.6997,0.9534,0.6122
168,0.6119,0.8937,1.1628,1.0541,0.6127,1.0287,1.0478,0.9584
169,0.3884,0.5804,1.1626,1.0308,0.701,0.7893,0.7381,0.9897
170,0.5257,0.8743,0.8137,0.9044,0.7531,0.9285,1.036,0.802
171,0.5365,0.9148,0.6123,0.7209,0.7601,0.8709,0.5062,0.7743
172,0.7891,0.8154,1.1066,0.5466,0.9438,0.9874,1.0805,0.6331
173,0.8465,0.7684,0.991,0.6708,0.6926,1.0195,1.0809,0.4996
174,0.8589,0.8866,1.0871,0.6811,0.6926,1.1412,1.0809,0.7923
175,0.8786,0.9062,1.0967,0.8356,0.6645,1.0037,1.0809,0.6787
176,0.945,0.8829,1.1212,0.8592,0.2769,1.214,1.0809,0.8301
177,0.9807,0.993,1.1097,0.8194,0.4878,1.092,1.0809,0.9824
178,0.8053,0.9895,1.0682,0.861,0.4131,0.8779,1.0809,0.8948
179,0.9597,1.0415,1.0404,0.6796,0.5444,0.5827,1.0809,1.0389
180,0.9821,0.9648,0.7815,1.0253,0.6739,0.315,0.7183,0.9972
181,0.8912,0.9506,0.7273,0.8272,0.7278,0.3201,0.8522,1.057
182,0.7583,1.0473,0.8773,0.9061,0.7879,0.595,0.8351,1.0461
183,0.7937,0.8766,0.8888,0.9902,0.8092,0.571,1.1133,1.0175
184,0.8317,0.5872,0.8954,0.8622,0.8035,0.5271,1.0126,0.8912
185,0.7787,0.8552,0.5558,0.907,0.7499,0.9532,0.7216,0.8869
186,0.6879,0.7464,0.8481,0.9192,0.5527,0.6806,0.7237,0.8797
187,0.6555,0.8782,0.9168,0.8236,0.9055,0.9907,0.567,0.8265
188,0.6615,1.0195,0.9255,0.5517,0.7333,1.0257,0.5422,0.843
189,0.9956,1.0114,0.9193,0.8678,0.8779,0.8888,0.6607,0.8294
190,0.9154,0.7369,0.8611,0.9547,0.837,1.0175,0.8614,0.6354
191,0.6811,1.1506,1.0985,0.7757,0.7441,0.9111,0.8542,0.6209
192,0.8284,1.1506,1.1596,0.9527,0.6256,0.9978,0.7493,0.6015
193,0.9963,0.9576,0.7731,1.0269,0.6109,0.777,0.6341,0.6215
194,0.9859,0.9506,0.9292,1.0249,0.6111,0.9689,0.7116,0.4168
195,0.7832,1.1085,0.8832,0.9953,0.6418,0.8905,0.5388,0.4172
196,0.979,1.0274,1.1395,0.9577,0.7247,1.0329,0.8491,0.6739
197,0.8167,0.9645,1.1395,0.8169,0.7339,0.9918,0.8282,0.4435
198,0.9787,1.0688,0.9116,0.9516,0.5062,0.9994,1.0859,0.9612
199,0.9855,1.0426,0.7805,0.9315,0.454,1.0201,0.6562,0.9455
200,0.8428,1.0783,1.0734,0.9158,0.5996,0.8965,0.8659,0.6413
201,0.879,1.0934,1.0144,1.0144,0.4587,1.0765,1.0185,1.035
202,1.0014,1.0529,1.1614,1.0385,0.5551,1.0769,0.8835,0.9735
203,0.7649,1.0962,1.1614,0.9648,0.603,1.0542,1.055,0.974
204,1.0236,0.9863,1.1614,0.9401,0.6307,0.9091,0.9551,0.7616
205,0.8549,1.0813,1.1611,1.0259,0.5079,0.8211,0.9755,0.9796
206,0.75,0.8929,0.7922,0.9501,0.5746,0.9412,1.0793,0.9623
207,0.5087,1.0831,0.8843,0.8637,0.75,0.9538,1.0793,1.0623
208,0.5115,1.0851,0.9881,0.9704,0.5651,0.9835,1.1443,1.0645
209,0.4596,1.0143,0.9753,0.9632,0.8761,0.7766,0.9579,0.9964
210,0.4369,0.9024,0.9952,0.9694,0.808,0.9638,1.1558,0.9892
211,0.5581,0.9096,0.8075,0.7175,0.8321,0.9245,1.1558,1.2871
212,0.6767,0.7446,0.9841,0.9442,0.8289,0.7435,0.8977,1.0308
213,0.9088,0.8297,0.8642,0.7491,0.7329,0.5001,0.9917,1.0022
214,0.911,1.0587,0.8571,0.7719,0.6473,0.8344,1.0137,1.2149
215,1.0578,1.1397,0.8782,0.961,0.7945,0.9638,1.0401,1.2353
216,1.0458,1.1397,0.6692,0.8461,0.7836,1.0295,1.0983,1.0521
217,0.6563,0.9795,0.6643,0.8746,0.9336,1.048,1.0716,1.1845
218,0.9104,1.1527,1.0355,1.133,0.9529,0.9277,1.0288,1.0402
219,0.8902,1.1185,1.0031,1.0586,0.9576,0.8806,0.9228,1.1515
220,0.8468,0.9965,1.1548,1.0117,0.7732,1.0671,1.1092,0.8816
221,0.7656,0.8392,1.2079,0.8789,0.8743,1.0656,1.1095,1.0886
222,0.5471,0.5569,1.1819,0.9017,0.9235,1.0657,1.0929,1.0702
223,0.702,0.8735,0.9629,0.7138,0.8834,1.0541,0.9509,1.0085
224,0.7334,0.7843,0.9584,0.619,0.5998,0.8936,1.0754,0.8482
225,0.6414,0.8314,1.0378,1.2032,0.8703,0.8324,1.0798,1.0383
226,0.4878,0.7817,0.7355,1.2366,0.8703,0.5686,0.7759,0.963
227,0.8379,0.5351,0.8146,1.2395,0.8703,0.8514,1.0787,0.916
228,0.6811,0.5327,0.9471,1.1827,0.8703,1.0582,1.0936,1.1844
229,0.7988,0.4505,0.8231,1.2669,0.7033,0.9763,1.0169,0.8361
230,0.9047,0.6218,0.7927,1.2669,0.6292,0.8455,0.9317,1.0798
231,0.8942,0.5743,0.9903,1.0379,0.5887,0.6091,0.7405,0.655
232,0.7379,0.748,0.9667,0.9805,0.7921,0.6803,0.6077,0.9675
233,0.7514,0.6714,1.08,0.9816,0.7382,0.6108,0.6803,0.6502
234,0.7127,0.692,1.1442,1.0683,0.8878,0.6582,0.6058,0.9062
235,0.6439,0.5232,1.0252,0.8364,0.77,0.6244,0.4969,0.8355
236,0.748,0.7877,0.6295,0.9047,0.9616,0.5582,0.6341,0.6913
237,0.6579,0.7657,1.1083,0.8942,0.9608,0.5812,0.5643,0.8247
238,0.7576,0.9289,1.0066,0.9406,1.0388,0.5851,0.4411,0.9152
239,0.7338,0.9549,0.8756,0.9728,0.9068,0.2612,0.6226,0.7287
240,0.9149,0.9536,0.8858,0.8869,0.7525,0.4208,0.4722,0.8597
241,0.9401,0.9537,0.8649,0.7737,0.8021,0.4294,0.6813,0.7454
242,1.0621,0.9564,0.7111,1.1117,0.8867,0.5358,0.6803,0.6716
243,0.9288,0.9526,0.8076,1.015,0.8299,0.6443,0.7453,0.7247
244,0.9874,0.843,0.9466,1.0268,0.9129,0.9222,0.696,0.8147
245,0.9955,0.8128,0.8944,0.7295,0.8536,0.8932,0.6598,0.7571
246,0.8571,0.7122,0.7895,1.1148,0.8272,0.7468,0.8162,0.5801
247,0.7899,0.7277,0.5689,0.7126,0.7109,0.7204,0.877,0.5214
248,0.8246,0.8976,0.9105,1.1647,0.7337,0.6401,0.8706,0.7583
249,0.676,0.8778,0.8115,1.059,0.6441,0.5852,0.8283,0.5294
250,0.7074,0.9545,0.9118,1.109,0.5225,0.7991,0.8332,0.7525
251,0.5402,1.0045,0.9321,1.0182,0.6684,0.9455,0.8581,0.7219
252,0.3887,0.9106,0.9633,1.0535,0.6292,0.9179,0.736,0.8181
253,0.7085,0.9812,1.1287,1.1957,0.759,0.7459,0.8697,0.919
254,1.0305,0.5439,1.0761,1.1252,0.7061,0.7712,0.8766,0.5404
255,1.08,1.0643,1.1338,1.2055,0.5638,0.8014,0.895,0.4893
256,1.1252,1.068,0.8177,1.1905,0.723,0.8202,0.8124,0.7374
257,0.7764,0.801,1.1493,0.9928,0.7104,0.9031,0.7929,0.7216
258,0.5984,1.1088,0.5975,0.8797,0.5677,0.7865,0.829,0.6846
259,0.7484,1.0986,0.9146,0.9267,0.6029,0.7281,0.6505,0.6056
260,0.6718,0.6316,1.1356,0.9826,0.5891,0.5453,0.9301,0.7919
261,0.9198,1.0996,1.1167,0.9472,0.8015,0.5428,0.931,0.809
262,1.0247,0.7605,1.2135,1.0062,0.6551,0.6124,0.715,0.6929
263,1.192,0.9607,1.1556,0.7705,0.823,0.7821,0.8486,0.7918
264,0.9833,0.717,1.0331,0.5154,0.7247,0.775,0.8443,0.8665
265,1.1251,0.8227,0.9642,0.6237,0.6443,0.7219,0.8691,0.7007
266,1.1965,0.8824,1.1901,0.7774,0.618,0.8797,0.859,0.7649
267,1.1936,0.6541,0.9098,0.5709,0.6209,0.8325,0.7004,0.8232
268,1.0834,0.9762,1.034,0.7936,0.598,0.8263,0.5436,0.618
269,1.0095,0.8539,1.0992,0.6187,0.5362,0.8483,0.4615,0.7567
270,0.9854,1.0364,1.1426,0.7375,0.6852,0.7573,0.4349,0.5091
271,0.7176,1.0964,0.9768,0.7248,0.6758,0.6169,0.504,0.7338
272,0.9371,0.9161,1.1095,0.659,0.5778,0.7894,0.4117,0.7152
273,0.9992,1.1185,1.1622,0.604,0.5675,0.796,0.4704,0.909
274,1.1086,1.1796,1.1632,0.6098,0.4231,0.6628,0.5467,0.9083
275,1.1028,1.1664,0.9365,0.7139,0.5366,0.7871,0.6832,0.698
276,1.0753,0.8412,0.8984,0.7335,0.7078,0.8187,0.7052,0.6746
277,0.9231,0.8331,1.114,0.6823,0.8372,0.5258,0.7109,0.7788
278,0.684,1.0364,1.0907,0.6447,0.7397,0.8096,0.695,0.5691
279,0.5334,1.0902,1.2162,0.5814,0.8175,0.9372,0.7784,0.9017
280,0.3486,0.8924,1.2085,0.7965,0.6772,0.7929,0.8117,0.896
281,0.3562,0.6684,1.3038,0.7924,0.6238,0.906,0.569,0.815
282,0.5164,0.7948,0.6519,0.8033,0.5646,0.8327,0.7606,0.7872
283,0.3228,0.9323,0.603,0.81,0.554,0.9499,0.8159,0.6259
284,0.3877,1.0064,1.2347,1.1788,0.5632,0.9125,0.7035,0.6632
285,0.7544,1.0857,1.2347,0.916,0.5717,0.9566,0.5921,0.9164
286,0.8138,0.8423,1.0148,0.9583,0.6861,0.9344,0.6906,0.8353
287,0.9229,1.1305,1.1515,1.2204,0.5177,0.6977,0.7119,0.8399
288,0.8956,1.116,0.7575,1.181,0.469,0.8173,0.4776,0.7714
289,0.8062,1.0166,0.6254,0.8937,0.4082,0.6719,0.7499,0.6042
290,0.8171,1.1128,0.61,0.9317,0.2665,0.8973,0.6599,0.5974
291,0.8349,1.0872,0.8325,1.205,0.2562,0.9569,0.8172,0.6711
292,0.8237,1.0636,0.8753,1.1218,0.4244,0.8859,0.8264,0.6959
293,0.8062,1.0155,0.8989,0.975,0.7378,0.7356,0.858,0.6371
294,0.7788,1.065,0.9232,0.9559,0.6623,0.8302,0.7561,0.5256
295,0.7977,1.0589,0.8875,0.7949,0.8222,0.6923,0.6573,0.5919
296,0.508,1.065,0.891,0.9401,0.7919,0.8253,0.8469,0.6113
297,0.6752,1.0456,0.6882,0.9096,0.9628,0.7717,0.8425,0.5501
298,0.6121,0.9283,0.833,0.6526,0.9036,0.8119,0.6891,0.5563
299,0.7149,0.9592,0.8968,0.906,1.0688,0.7161,0.7891,0.5475
300,0.9649,0.9518,0.859,1.0517,0.7946,0.8,0.9112,0.4521
301,0.9519,0.6594,0.6809,0.9563,0.9604,0.6678,0.9293,0.6636
302,0.9536,1.0546,0.7844,0.9839,0.7724,0.5225,0.9074,0.5379
303,0.8142,0.7715,0.8489,0.9079,0.9722,0.6904,0.7646,0.5106
304,0.919,1.1388,0.9883,0.9801,0.9689,0.6637,0.8104,0.6937
305,0.9949,1.1607,0.97,0.9735,0.9141,0.5816,0.8135,0.6749
306,0.8677,1.1432,0.7523,0.9778,0.9173,0.5703,0.8076,0.9011
307,0.9885,1.1872,0.7627,0.7412,0.9385,0.5683,0.7576,0.815
308,0.9858,1.1211,0.8586,0.7858,0.6857,0.4458,0.688,0.642
309,0.8535,1.1832,0.9235,0.9933,0.8061,0.4463,0.5251,0.7316
310,0.6654,1.1898,0.8593,0.9162,0.9412,0.489,0.5054,0.7149
311,0.9157,1.0198,1.0054,1.1652,0.8323,0.2612,0.311,0.8043
312,0.8602,1.1763,0.9556,1.1657,0.7779,0.642,0.4186,0.7306
313,0.695,1.1723,0.8212,1.1046,0.9289,0.7228,0.3122,0.7964
314,0.6319,0.9609,0.733,0.854,0.9774,0.7471,0.5504,0.75
315,0.5732,1.0684,0.7814,0.8651,0.8502,0.4635,0.392,0.8295
