episode,reward,picks_per_hour,dist_per_agent,congestion_rate,norm_picks,norm_distance,norm_congestion,aisle_width,centre_aisle_width,depot_col,shelf_start_row,shelf_end_row,cross_aisle_row
30,0.6780370559504854,50.45221488290162,3185.0,0.4021094264996704,0.6694775834239033,0.5161676935699232,0.8484658908576298,2,1,13,1,23,12
31,0.6716708082761393,50.54453003452827,3160.0,0.43040540540540545,0.6746043252652961,0.5242113222116761,0.8161967773514459,1,3,17,1,23,11
32,0.7912139032927019,50.62875327208114,2343.6,0.35036496350364965,0.6792816809146284,0.7868840591367577,0.9074759698267199,2,3,17,1,23,13
33,0.7419217734821957,51.63191247359325,2724.4,0.4214501510574018,0.7349923433719682,0.6643635076655781,0.8264094694090409,1,3,17,1,21,12
34,0.5979430222630386,49.71246006389466,3493.6,0.4897172236503856,0.6283951401180291,0.4168771416161258,0.748556785054961,1,2,23,1,23,12
35,0.7144018741792579,51.25581574933592,3061.8,0.38033898305084746,0.7141057307337864,0.5558066955164813,0.8732931962875063,2,2,17,1,22,14
36,0.6169145223994169,48.992111409807116,3378.6,0.4371761658031088,0.5883904223633809,0.453877833368189,0.8084753114666808,1,3,17,2,23,12
37,0.7157307687129291,50.539488989608614,2929.5,0.3792857142857143,0.6743243697492345,0.5983735782886375,0.8744943581009156,2,2,15,1,22,12
38,0.6945487128936738,49.629930866203196,2834.9,0.4174041297935103,0.6238118633375004,0.6288106690690304,0.831023606274491,1,2,19,1,22,13
39,0.6869497471463288,49.377562430112974,2806.1,0.43322981366459623,0.6097965278486603,0.6380769292643297,0.8129757843259967,2,2,21,2,22,13
40,0.7484620260034547,51.51626600688496,2710.1,0.40264797507788164,0.7285698919191398,0.6689644632486607,0.8478517228425636,2,2,15,1,22,11
41,0.6771676686778891,50.90360898704675,3330.4,0.3853564547206166,0.6945458522822825,0.46938594938948847,0.8675712043618966,2,3,17,1,23,12
42,0.6895858696715613,51.11589061757758,3194.7,0.4013114754098361,0.7063349583848533,0.5130467656569231,0.8493758849729077,2,2,17,1,22,12
43,0.6955745761548523,50.239735244566994,3065.7,0.3792857142857143,0.6576774809152734,0.554551889448368,0.8744943581009156,1,2,17,2,23,12
